ID;Typ;Kategorie;Frage;Antworten;RichtigeAntwort;Erklaerung
24;MultipleChoice;Netzwerk;Was macht eine Station bei CSMA/CD nach erkannter Kollision?;Sie sendet sofort erneut|Sie wartet zufaellig und sendet erneut|Sie aendert ihre IP-Adresse|Sie schaltet auf Broadcast um;2;Der Sendeversuch wird abgebrochen und spaeter erneut versucht.
25;offeneFrage;Netzwerk;Wie viele Bit hat eine uebliche Ethernet-MAC-Adresse?;;48;Sie wird gewoehnlich als sechs hexadezimale Bytes geschrieben.
26;MultipleChoice;Netzwerk;Wie gross ist die haeufige IP-MTU bei Ethernet?;64 Byte|512 Byte|1500 Byte|65535 Byte;3;1500 Byte bezeichnet die typische maximale IP-Paketgroesse im Ethernet-Nutzdatenfeld.
27;MultipleChoice;Netzwerk;Wie gross ist ein gewoehnlicher Ethernet-Frame maximal ohne Praeambel und VLAN-Tag einschliesslich FCS?;64 Byte|1500 Byte|1518 Byte|1522 Byte;3;Mit 802.1Q-Tag koennen daraus 1522 Byte werden.
28;MultipleChoice;Netzwerk;Wofuer steht DMZ im Netzkontext?;Demilitarisierte Zone|Dynamische MAC-Zuteilung|Digitales Management-Zentrum|Dezentrale Mehrfach-Zustellung;1;Eine DMZ ist ein abgegrenzter Bereich fuer kontrolliert erreichbare Dienste.
29;MultipleChoice;OSI;Wie viele Schichten hat das OSI-Referenzmodell?;4|5|7|8;3;Das OSI-Modell gliedert Aufgaben in sieben Schichten.
30;MultipleChoice;OSI;Welche OSI-Schicht verwendet MAC-Adressen fuer die lokale Zustellung?;1 Bituebertragung|2 Sicherung|3 Vermittlung|4 Transport;2;MAC-Adressen gehoeren zur Sicherungsschicht.
31;MultipleChoice;OSI;Welche OSI-Schicht ist fuer IP-Adressierung und Routing zustaendig?;1 Bituebertragung|2 Sicherung|3 Vermittlung|4 Transport;3;IP und Routing werden der Vermittlungsschicht zugeordnet.
32;MultipleChoice;OSI;Auf welcher OSI-Schicht werden TCP und UDP eingeordnet?;2 Sicherung|3 Vermittlung|4 Transport|7 Anwendung;3;TCP und UDP sind Transportprotokolle.
33;MultipleChoice;OSI;Welche Dateneinheit gehoert zur Sicherungsschicht?;Bit|Frame|IP-Paket|TCP-Segment;2;Ethernet transportiert Frames auf Schicht 2.
34;MultipleChoice;OSI;Welche Dateneinheit gehoert zur Vermittlungsschicht?;Signal|Frame|Paket|TCP-Segment;3;Die IP-Dateneinheit wird als Paket bezeichnet.
35;MultipleChoice;OSI;Womit werden Anwendungen auf der Transportschicht unterschieden?;MAC-Adresse|Subnetzmaske|Portnummer|VLAN-ID;3;Ein Transportprotokoll verwendet Portnummern zur Zuordnung.
36;MultipleChoice;OSI;In welcher Reihenfolge durchlaufen Daten beim Senden das OSI-Modell?;Von Schicht 1 bis 7|Von Schicht 7 bis 1|Nur Schicht 2 und 3|Von Schicht 4 bis 7;2;Beim Empfaenger laeuft die Verarbeitung in Gegenrichtung.
37;offeneFrage;OSI;Wie heisst das Hinzufuegen von Headern beim Durchlaufen der Schichten Richtung Uebertragungsmedium?;;Kapselung;Beim Empfang werden die Steuerinformationen wieder entfernt: Entkapselung.
38;MultipleChoice;OSI;Welcher TCP/IP-Schicht entsprechen die OSI-Schichten 5 bis 7 im vereinfachten Modell?;Netzzugang|Internet|Transport|Anwendung;4;Sitzung, Darstellung und Anwendung sind im TCP/IP-Modell der Anwendung zugeordnet.
39;MultipleChoice;OSI;Welche typische Hauptfunktion gehoert zu Schicht 1?;IP-Routing|Bituebertragung als Signal|Portadressierung|DNS-Aufloesung;2;Schicht 1 uebertraegt elektrische, optische oder Funksignale.
40;MultipleChoice;OSI;Was ist eine typische Aufgabe der Darstellungsschicht?;Frameweiterleitung|Routingtabellen pflegen|Datenformate und Zeichencodierung behandeln|Kabelsignale regenerieren;3;Schicht 6 behandelt Darstellung, Kodierung und gegebenenfalls Verschluesselungsfunktionen.
41;offeneFrage;OSI;Auf welcher OSI-Schicht arbeitet ein klassischer Layer-2-Switch hauptsaechlich?;;2;Die Sicherungsschicht verarbeitet Frames und MAC-Adressen.
42;MultipleChoice;IP;Wie lang ist eine IPv4-Adresse?;16 Bit|32 Bit|64 Bit|128 Bit;2;Vier Oktette zu je 8 Bit ergeben 32 Bit.
43;MultipleChoice;IP;Wie lang ist eine IPv6-Adresse?;32 Bit|48 Bit|64 Bit|128 Bit;4;IPv6 verwendet 128 Bit.
44;MultipleChoice;IP;Welche Aussage zu IPv6-Broadcast ist korrekt?;Broadcast verwendet ff00::/8|Broadcast gibt es wie bei IPv4|IPv6 verwendet keinen Broadcast|Broadcast ist die Adresse ::1;3;Fuer Gruppenkommunikation nutzt IPv6 unter anderem Multicast.
45;MultipleChoice;IP;Welche IPv4-Adresse ist eine uebliche Loopback-Adresse?;0.0.0.0|127.0.0.1|169.254.1.1|224.0.0.1;2;127.0.0.0/8 ist der IPv4-Loopback-Bereich.
46;offeneFrage;IP;Wie lautet die IPv6-Loopback-Adresse?;;::1;Sie verweist wie 127.0.0.1 auf das eigene System.
47;MultipleChoice;IP;Welcher Bereich ist fuer private IPv4-Adressen vorgesehen?;10.0.0.0/8|11.0.0.0/8|169.254.0.0/16|224.0.0.0/4;1;10.0.0.0/8 ist einer der privaten RFC-1918-Bereiche.
48;MultipleChoice;IP;Welche IPv4-Adresse ist privat?;172.15.1.1|172.20.1.1|172.32.1.1|8.8.8.8;2;Der private Bereich reicht von 172.16.0.0 bis 172.31.255.255.
49;MultipleChoice;IP;Ein Windows-Client erhaelt 169.254.12.3. Was ist naheliegend?;DNS hat Port 53 gesperrt|Er hat per APIPA eine linklokale Adresse gewaehlt|Er hat eine oeffentliche Adresse erhalten|IPv6 wurde deaktiviert;2;APIPA kann auftreten, wenn keine DHCP-Adresse bezogen wird.
50;MultipleChoice;IP;Welche Adresse ist die Netzadresse in 192.168.10.0/24?;192.168.10.0|192.168.10.1|192.168.10.254|192.168.10.255;1;Bei /24 sind alle Hostbits der Netzadresse 0.
51;MultipleChoice;IP;Welche Adresse ist die Broadcastadresse in 192.168.10.0/24?;192.168.10.0|192.168.10.1|192.168.10.254|192.168.10.255;4;Bei /24 sind alle acht Hostbits der Broadcastadresse 1.
52;MultipleChoice;IP;Welcher Praefix bezeichnet IPv6-Link-Local-Adressen?;fe80::/10|fc00::/7|ff00::/8|2001:db8::/32;1;Linklokale Adressen gelten nur auf dem lokalen Segment.
53;MultipleChoice;IP;Welcher IPv6-Bereich ist fuer Unique Local Addresses reserviert?;fe80::/10|fc00::/7|ff00::/8|2000::/3;2;In der Praxis werden haeufig Adressen aus fd00::/8 verwendet.
54;MultipleChoice;IP;Welcher IPv6-Praefix steht fuer Multicast?;::1/128|fe80::/10|ff00::/8|2001:db8::/32;3;IPv6 nutzt ff00::/8 fuer Multicast.
55;MultipleChoice;IP;Wofuer ist 2001:db8::/32 reserviert?;Loopback|Dokumentation und Beispiele|Link-Local|Unique Local Addresses;2;Der Praefix wird fuer illustrative Adressen in Dokumentationen verwendet.
56;MultipleChoice;IP;Wie oft darf :: in einer IPv6-Adresse zur Kuerzung von Nullgruppen vorkommen?;Gar nicht|Einmal|Zweimal|Beliebig oft;2;Mehrere Doppelpunktkuerzungen waeren mehrdeutig.
57;offeneFrage;IP;Kuerze die IPv6-Adresse 2001:0db8:0000:0000:0000:ff00:0042:8329.;;2001:db8::ff00:42:8329;Fuehrende Nullen je Gruppe entfallen, und ein zusammenhaengender Nullblock wird einmal mit :: abgekuerzt.
58;MultipleChoice;IP;Was bedeutet /64 bei einem IPv6-Praefix?;64 Netzwerkbits und 64 uebrige Bits|64 Hexadezimalziffern|Genau 64 moegliche Adressen|Immer 64 Geraete;1;"Bei /64 sind die ersten 64 Bits Praefix; Praefixlaengen koennen grundsaetzlich auch anders gewaehlt werden."
59;MultipleChoice;IP;Wobei helfen Router Advertisements in einem IPv6-Netz?;Sie kuendigen Router und Praefixinformationen an|Sie ersetzen Switchports|Sie vergeben MAC-Adressen|Sie verschluesseln jedes Paket;1;RA-Nachrichten unterstuetzen die Netzkonfiguration der Hosts.
60;MultipleChoice;IP;Was ist bei IPv6-SLAAC richtig?;Hosts konfigurieren sich per RA selbst|Ein DHCPv4-Server ist zwingend noetig|Immer aus der MAC-Adresse berechnet|SLAAC leitet Pakete zwischen VLANs;1;Der Interface Identifier kann unterschiedlich gebildet werden, auch ohne MAC-Adresse.
61;MultipleChoice;IP;Welche Adresse ist als IPv6-Quelladresse unspezifiziert?;::|::1|fe80::1|ff02::1;1;:: steht fuer die nicht spezifizierte IPv6-Adresse.
62;offeneFrage;IP;Aus wie vielen 16-Bit-Gruppen besteht eine ungekuerzte IPv6-Adresse?;;8;Acht Gruppen zu je 16 Bit ergeben 128 Bit.
63;offeneFrage;IP;Welcher IPv4-Bereich wird bei APIPA verwendet?;;169.254.0.0/16;Er dient der automatischen linklokalen Konfiguration.
64;MultipleChoice;Subnetting;Welche Maske entspricht /26 bei IPv4?;255.255.255.0|255.255.255.128|255.255.255.192|255.255.255.224;3;26 Netzbits: Im letzten Oktett stehen die ersten zwei Bits auf 1, also 192.
65;offeneFrage;Subnetting;Welche IPv4-Praefixlaenge entspricht 255.255.192.0?;;/18;8 + 8 + 2 gesetzte Bits ergeben /18.
66;MultipleChoice;Subnetting;Wie viele Adressen umfasst ein gewoehnliches IPv4-/27-Subnetz insgesamt?;16|30|32|64;3;"32 - 27 = 5 Hostbits; 2^5 = 32 Adressen."
67;MultipleChoice;Subnetting;Wie viele Hostadressen sind in einem gewoehnlichen IPv4-/27-Subnetz nutzbar?;16|30|32|62;2;32 Adressen abzueglich Netz- und Broadcastadresse.
68;MultipleChoice;Subnetting;Wie viele gewoehnlich nutzbare Hosts passen in 192.168.1.0/29?;4|6|8|14;2;Drei Hostbits ergeben 8 Adressen, ueblicherweise 6 fuer Hosts.
69;MultipleChoice;Subnetting;Wie lautet die Broadcastadresse von 192.168.10.64/26?;192.168.10.63|192.168.10.64|192.168.10.126|192.168.10.127;4;Ein /26 umfasst 64 Adressen: .64 bis .127.
70;MultipleChoice;Subnetting;In welchem /26-Netz liegt 192.168.10.130?;192.168.10.0/26|192.168.10.64/26|192.168.10.128/26|192.168.10.192/26;3;Die /26-Netzgrenzen liegen im vierten Oktett bei 0, 64, 128 und 192.
71;offeneFrage;Subnetting;Wie lautet die Netzadresse von 192.168.10.78/27?;;192.168.10.64;"/27 hat eine Schrittweite von 32; .78 liegt zwischen .64 und .95."
72;MultipleChoice;Subnetting;Welches kleinste gewoehnliche IPv4-Subnetz bietet mindestens 5 nutzbare Hostadressen?;/30|/29|/28|/27;2;Ein /29 umfasst 8 Adressen, davon ueblicherweise 6 nutzbare.
73;MultipleChoice;Subnetting;Wofuer nutzt man VLSM?;Nur gleich grosse Subnetze bilden|Subnetze mit variabler Praefixlaenge|IPv6 in IPv4 uebersetzen|MAC-Adressen statisch zuweisen;2;Variable Length Subnet Mask erlaubt Subnetze mit unterschiedlicher Groesse.
74;MultipleChoice;Subnetting;Welches kleinste gewoehnliche IPv4-Subnetz reicht fuer 50 Hosts?;/27|/26|/25|/24;2;/26 bietet 64 Adressen beziehungsweise 62 nutzbare Hosts.
75;MultipleChoice;Subnetting;Welche Netzadresse folgt unmittelbar auf 192.168.0.0/25 innerhalb von 192.168.0.0/24?;192.168.0.64/25|192.168.0.126/25|192.168.0.128/25|192.168.1.0/25;3;"Ein /25 enthaelt 128 Adressen; die naechste Netzgrenze ist .128."
76;MultipleChoice;Subnetting;Welche Maske gehoert zu 192.168.0.224/29?;255.255.255.224|255.255.255.240|255.255.255.248|255.255.255.252;3;/29 entspricht 248 im vierten Oktett.
77;offeneFrage;Subnetting;Wie lautet die Broadcastadresse von 192.168.0.232/29?;;192.168.0.239;Ein /29 umfasst acht Adressen von .232 bis .239.
78;MultipleChoice;Subnetting;Welcher Hostbereich gehoert zu 192.168.0.224/29?;.224 bis .231|.225 bis .230|.225 bis .231|.226 bis .229;2;.224 ist Netzadresse, .231 Broadcastadresse.
79;offeneFrage;Subnetting;Wie viele gewoehnlich nutzbare Hosts umfasst ein IPv4-/26-Netz?;;62;2^(32-26) - 2 = 62.
80;offeneFrage;Subnetting;Welche Subnetzmaske gehoert zu IPv4-/24?;;255.255.255.0;Die ersten 24 Bits der Maske sind 1.
81;MultipleChoice;Netzwerk;Welche Reihenfolge zeigt bei DHCPv4 die DORA-Schritte?;Discover, Offer, Request, Acknowledge|Discover, Request, Offer, Acknowledge|Offer, Discover, Request, Acknowledge|Request, Offer, Discover, Acknowledge;1;Der Client sucht, der Server bietet an, der Client fordert an, der Server bestaetigt.
82;MultipleChoice;Netzwerk;Welche Nachricht sendet ein Client zu Beginn der DHCPv4-Adresssuche?;DHCP Offer|DHCP Discover|DHCP Acknowledge|DHCP Release;2;Discover wird ueblicherweise als Broadcast gesendet.
83;MultipleChoice;Netzwerk;Welche UDP-Ports verwendet DHCPv4 standardmaessig?;53 Server und 54 Client|67 Server und 68 Client|80 Server und 443 Client|123 Server und 124 Client;2;DHCPv4 verwendet UDP 67 serverseitig und UDP 68 clientseitig.
84;MultipleChoice;Netzwerk;Welchen Zweck hat DNS?;IP-Adressen ueber DHCP zuteilen|Namen in Adressen aufloesen|Ethernet-Frames verschluesseln|Kollisionen erkennen;2;DNS beantwortet Anfragen zu Namen und zugehoerigen Datensaetzen.
85;offeneFrage;Netzwerk;Welcher Port wird standardmaessig fuer DNS verwendet?;;53;DNS kann Port 53 sowohl mit UDP als auch mit TCP nutzen.
86;MultipleChoice;Netzwerk;Womit ermittelt ein IPv4-Geraet die MAC-Adresse zu einer lokalen Ziel-IP?;ARP|DNS|DHCP|HTTPS;1;ARP erfragt die Layer-2-Adresse zu einer IPv4-Adresse im lokalen Netz.
87;MultipleChoice;Netzwerk;Welches Protokoll nutzt ping fuer Echo Requests?;ARP|ICMP|FTP|SSH;2;Ping sendet ICMP Echo Requests und wertet Echo Replies aus.
88;MultipleChoice;Netzwerk;Was misst die bei ping angezeigte RTT?;Paketgroesse|Hin- und Ruecklaufzeit|Anzahl Router|DNS-TTL;2;RTT bedeutet Round-Trip-Time.
89;MultipleChoice;Netzwerk;Ein Ping auf eine IP funktioniert, derselbe Hostname nicht. Was sollte zuerst geprueft werden?;DNS-Aufloesung|Kabelverbindung als einzige Ursache|MAC-Adresse des Druckers|TCP-Port 443;1;Ein IP-Erfolg bei fehlender Namensaufloesung deutet auf DNS hin.
90;MultipleChoice;Netzwerk;Beweist eine ausbleibende Ping-Antwort, dass das Ziel ausgeschaltet ist?;Ja, immer|Nein, ICMP kann blockiert sein|Ja, wenn IPv6 aktiv ist|Ja, bei kurzer RTT;2;Eine Firewall kann Echo Requests oder Antworten unterdruecken.
91;MultipleChoice;Netzwerk;Welcher Windows-Befehl zeigt die komplette lokale IP-Konfiguration?;ipconfig /all|ipconfig /release|route delete|tracert /all;1;ipconfig /all zeigt unter anderem IP, Gateway, DNS und Adapterinformationen.
92;MultipleChoice;Netzwerk;Mit welchem Befehl pruefst du unter Windows DNS-Aufloesung gezielt?;nslookup <Hostname>|route print|ping 127.0.0.1|ipconfig /release;1;nslookup fragt DNS-Daten getrennt vom reinen IP-Ping ab.
93;MultipleChoice;Netzwerk;Welcher Befehl zeigt Zwischenstationen zum Ziel?;ipconfig /renew|tracert <Ziel>|arp -d|hostname;2;tracert zeigt Router auf dem Pfad.
94;MultipleChoice;Netzwerk;Welchen Zweck hat das Standardgateway eines Hosts?;Pakete an fremde IP-Netze weitergeben|DNS-Namen in IPs aufloesen|Ethernet-Kollisionen verhindern|Eine lokale MAC-Adresse vergeben;1;Fuer Ziele ausserhalb des lokalen Netzes wird typischerweise der Router angesprochen.
95;MultipleChoice;Netzwerk;Was bedeutet die IPv4-Route 0.0.0.0/0?;Nur das Loopback-Netz|Auffangroute fuer nicht genauer bekannte Ziele|Ein Host mit Maske /32|Ein lokales VLAN;2;Die Default Route greift, wenn keine spezifischere Route passt.
96;MultipleChoice;Netzwerk;Welche Route gewinnt bei gleicher Eignung und gleichem Praefix, wenn die Metriken unterschiedlich sind?;Die Route mit niedrigerer Metrik|Die Route mit hoeherer Metrik|Immer die zuletzt angelegte|Immer die Route mit weniger Hops;1;"Die Metrik gewichtet vergleichbare Routen; eine spezifischere Praefixlaenge hat zuvor Vorrang."
97;MultipleChoice;Netzwerk;Was bedeutet Next Hop in einer Routingtabelle?;Letzter Host im Zielnetz|Naechster Router auf dem Pfad|Erster DNS-Server|Broadcastadresse;2;Ein Paket wird an den naechsten Router auf seinem Weg weitergereicht.
98;MultipleChoice;Netzwerk;Warum braucht eine geroutete Verbindung auch einen passenden Rueckweg?;Weil Antworten sonst das Quellnetz nicht erreichen|Weil DNS immer rueckwaerts aufloest|Weil Switches sonst keine MACs lernen|Weil IPv4 keinen Broadcast hat;1;Die Gegenstelle benoetigt eine Route oder ein Standardgateway zurueck.
99;MultipleChoice;Netzwerk;Was beschreibt NAT in einem Router?;Uebersetzung von Adressen bei der Weiterleitung|Aushandlung von TLS-Schluesseln|Ermittlung einer lokalen MAC per IPv6|Sicherung von Ethernet-Frames;1;NAT kann etwa private und oeffentliche IP-Adressen abbilden.
100;MultipleChoice;Netzwerk;Welche Aussage beschreibt TCP zutreffend?;Verbindungslos ohne Bestaetigung|Verbindungsorientiert mit geordneter Uebertragung|Nur fuer lokale MAC-Adressen|Immer schneller als UDP;2;TCP uebernimmt unter anderem Reihenfolge, Bestaetigung und Wiederholung.
101;MultipleChoice;Netzwerk;Welche Aussage beschreibt UDP zutreffend?;UDP garantiert die Reihenfolge|Verbindungslos ohne Zustellbestaetigung|UDP benoetigt grundsaetzlich TCP|UDP verwendet keine Ports;2;Eine Anwendung kann bei Bedarf selbst mit Verlusten umgehen.
102;MultipleChoice;Netzwerk;Welcher Transportport wird fuer HTTPS gewoehnlich verwendet?;22|53|80|443;4;HTTPS wird typischerweise ueber TCP-Port 443 angeboten.
103;MultipleChoice;Netzwerk;Welcher Dienst dient der verschluesselten Fernadministration?;FTP|SSH|ARP|ICMP;2;SSH bietet einen verschluesselten Fernzugriff.
104;MultipleChoice;Netzwerk;Wie viele Broadcastdomaenen bilden VLAN 10 und VLAN 20 gewoehnlich?;Eine|Zwei|Vier|Keine;2;Jedes der beiden VLANs bildet eine getrennte Layer-2-Broadcastdomaene.
105;MultipleChoice;Netzwerk;Welche Aufgabe hat ein Access-Port an einem Switch ueblicherweise?;Ein Endgeraet ungetaggt einem VLAN zuordnen|Mehrere Netze per NAT uebersetzen|Alle Frames verschluesseln|Routingtabellen austauschen;1;Der Switch ordnet ungetaggte Frames des Access-Ports einem VLAN zu.
106;MultipleChoice;Netzwerk;Wofuer dient ein Trunk-Port zwischen VLAN-faehigen Switches?;Mehrere VLANs ueber eine Verbindung transportieren|Stets nur ein ungetaggtes VLAN verbinden|IP-Adressen per DHCP vergeben|Broadcastdomaenen zusammenlegen;1;802.1Q-Tags kennzeichnen auf dem Trunk in der Regel die VLAN-Zugehoerigkeit.
107;MultipleChoice;Netzwerk;Wie gross ist der zusaetzliche IEEE-802.1Q-Tag im Ethernet-Frame?;2 Byte|4 Byte|8 Byte|16 Byte;2;Der Tag umfasst 2 Byte TPID und 2 Byte TCI.
108;MultipleChoice;Netzwerk;Wie kommunizieren Geraete in verschiedenen VLANs ueber IP miteinander?;Allein durch gleiche Kabel|Per Router oder Layer-3-Switch|Durch Vergroessern der MAC-Tabelle|Durch Abschalten des DHCP-Servers;2;Zwischen den getrennten Layer-2-Bereichen braucht es eine Routing-Funktion.
109;MultipleChoice;Netzwerk;Sind VLAN-ID und IP-Subnetz dasselbe?;Ja, jede VLAN-ID ist ein IPv4-Praefix|Nein, VLAN ist L2 und Subnetz ist L3|Ja, wenn 802.1Q aktiv ist|Nein, weil VLANs immer auf Layer 4 liegen;2;Ein VLAN bekommt oft ein eigenes Subnetz, die Konzepte sind jedoch unterschiedlich.
110;offeneFrage;Netzwerk;Welcher Windows-Befehl zeigt die Routingtabelle an?;;route print;Alternativ kann PowerShell Get-NetRoute verwendet werden.
111;offeneFrage;Netzwerk;Welcher Windows-Befehl fordert eine DHCPv4-Lease erneut an?;;ipconfig /renew;Mit ipconfig /release kann die bisherige Lease zuvor freigegeben werden.
112;offeneFrage;Netzwerk;Wie lautet der UDP-Port eines DHCPv4-Servers?;;67;Der DHCPv4-Client verwendet UDP-Port 68.
113;offeneFrage;Netzwerk;Welche Netzwerkfunktion verbindet VLANs miteinander?;;Inter-VLAN-Routing;Ein Router oder Layer-3-Switch uebernimmt die Weiterleitung zwischen getrennten VLANs.
114;MultipleChoice;Sicherheit;Was wertet ein einfacher Paketfilter typischerweise aus?;IP-Adressen, Protokoll und Ports|Nur den Klartext der Webseite|Nur Passwoerter des Benutzers|Nur die Paketlaufzeit;1;Paketfilter entscheiden anhand der eingestellten Merkmale und Regeln.
115;MultipleChoice;Sicherheit;Was prueft eine Stateful Firewall zusaetzlich zu einfachen Paketmerkmalen?;Den Zustand einer Verbindung|Das WLAN-Passwort aller Clients|Die Domainmitgliedschaft jedes Pakets|Den Festplattenzustand;1;So erkennt sie Rueckpakete zu zuvor erlaubten Verbindungen.
116;MultipleChoice;Sicherheit;Was kennzeichnet einen Anwendungs-Proxy als Firewall?;Er nimmt Anfragen stellvertretend an|Er verstaerkt nur elektrische Signale|Er verteilt IP-Adressen automatisch|Er beschraenkt sich auf MAC-Adressen;1;Ein Proxy kann Anfragen und Inhalte des jeweiligen Protokolls genauer pruefen.
117;MultipleChoice;Sicherheit;Worin liegt der Unterschied zwischen IDS und IPS?;"IDS meldet, IPS kann blockieren|IDS verschluesselt; IPS entschluesselt|IDS routet; IPS vergibt IPs|Beide unterscheiden sich nur im Namen";1;Detection meldet, Prevention kann aktiv eingreifen.
118;MultipleChoice;Sicherheit;Welche Windows-Firewallprofile werden unterschieden?;Domaene, Privat, Oeffentlich|LAN, WAN, WLAN|IPv4, IPv6, DNS|TCP, UDP, ICMP;1;Die Regelwirkung haengt unter anderem vom aktiven Netzwerkprofil ab.
119;MultipleChoice;Sicherheit;Welche Verbindungsart bezeichnet ein VPN zwischen zwei Standorten?;Site-to-Site|End-to-Site|End-to-End|Point-to-Loopback;1;Dabei werden zwei Netze ueber VPN-Gegenstellen gekoppelt.
120;MultipleChoice;Sicherheit;Wie heisst ein VPN zwischen Laptop und Firmennetz?;Site-to-Site|End-to-Site|End-to-End|Layer-to-Loopback;2;Ein einzelnes Endgeraet verbindet sich mit dem Unternehmensnetz.
121;MultipleChoice;Sicherheit;Was passiert im IPsec-Tunnelmodus?;Neuer aeusserer IP-Header um Originalpaket|Der IP-Header wird immer ersatzlos entfernt|Nur die MAC-Adresse wird verschluesselt|IPsec wird durch DNS ersetzt;1;Das urspruengliche Paket wird in einem neuen IP-Paket transportiert.
